section,metric,tier,V1_n,V1_mean,V1_stdev,V1_min,V1_max,V2_n,V2_mean,V2_stdev,V2_min,V2_max,difference_v2_minus_v1,percent_difference,winner,sign_test_p,sign_test_unanimous,seed,arm,value,nnz,input_type,V1_lift,V2_lift,V1_decode_validity,V2_decode_validity
depth_ablation_Te4_vs_Te2,SALSA acc_tau,primary,5,0.986914,0.0033370453997510698,0.984375,0.992188,3,0.9863283333333334,0.0021282897672388213,0.983887,0.987793,-0.0005856666666665955,-0.05934323220327157,V1,1.0,,,,,,,,,,
depth_ablation_Te4_vs_Te2,Exact integer accuracy,primary,5,0.1012694,0.017286020328577657,0.072754,0.115234,3,0.11100266666666665,0.009165592852256385,0.101074,0.119141,0.009733266666666657,9.611261315527353,V2,1.0,,,,,,,,,,
depth_ablation_Te4_vs_Te2,Token accuracy,secondary,5,0.6988932,0.006086628557748524,0.688965,0.704264,3,0.7013886666666668,0.003937711560454032,0.69694,0.704427,0.002495466666666779,0.3570598006486226,V2,1.0,,,,,,,,,,
depth_ablation_Te4_vs_Te2,Greedy token accuracy,secondary,5,0.6838216,0.009161168800977344,0.669271,0.692057,3,0.6876083333333334,0.004840235152689737,0.682454,0.692057,0.0037867333333333475,0.5537604154845865,V2,1.0,,,,,,,,,,
depth_ablation_Te4_vs_Te2,Perfect accuracy,secondary,5,0.1012694,0.017286020328577657,0.072754,0.115234,3,0.11100266666666665,0.009165592852256385,0.101074,0.119141,0.009733266666666657,9.611261315527353,V2,1.0,,,,,,,,,,
depth_ablation_Te4_vs_Te2,Mean |b - b_hat|,secondary,5,6.13662,1.0709528150203445,4.8418,7.6665,3,6.0026,0.5937942657183548,5.6323,6.6875,-0.13401999999999958,-2.1839383895369044,V2,1.0,,,,,,,,,,
depth_ablation_Te4_vs_Te2,Decode failure rate,secondary,5,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,,TIE,,,,,,,,,,,
depth_ablation_Te4_vs_Te2,Samples/sec,efficiency,5,263.2898,10.266168696256656,248.653,274.632,3,108.21733333333333,10.751761545594906,96.085,116.565,-155.07246666666668,-58.8980152921483,V1,0.25,,,,,,,,,,
depth_ablation_Te4_vs_Te2,Tokens/sec,efficiency,5,789.9,30.790501782205496,746.0,823.9,3,324.6666666666667,32.23078238785606,288.3,349.7,-465.2333333333333,-58.89775077013968,V1,0.25,,,,,,,,,,
depth_ablation_Te4_vs_Te2,Wall-clock (s),efficiency,5,463.97228636741636,18.928218845842995,443.07118105888367,491.43791675567627,3,1200.8049782911937,113.23777101692623,1074.8543629646301,1294.1961479187012,736.8326919237774,158.8096344487879,V1,0.25,,,,,,,,,,
depth_ablation_Te4_vs_Te2,CPU RSS (MiB),efficiency,5,625.825,48.18305827251096,573.8125,701.96875,3,375.7604166666667,13.634040469707518,365.46484375,391.22265625,-250.06458333333336,-39.95758931543696,V2,0.25,,,,,,,,,,
depth_ablation_Te4_vs_Te2,Trainable parameters,efficiency,5,4241288.0,0.0,4241288,4241288,3,4241288.0,0.0,4241288,4241288,0.0,0.0,TIE,,,,,,,,,,,
per_seed,valid_loss,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,1.741287,,,,,,
per_seed,valid_acc_tau,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,0.35498,,,,,,
per_seed,valid_exact_accuracy,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,0.007812,,,,,,
per_seed,valid_token_accuracy,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,0.532389,,,,,,
per_seed,valid_greedy_token_accuracy,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,0.453125,,,,,,
per_seed,valid_perfect_accuracy,,,,,,,,,,,,,,,,,0,V1_GatedUT_Te2,0.007812,,,,,,
